,close,high,low,open,volume
2020-03-17,2685.59,2734.8,2629.18,2696.7,4153269400.0
2020-03-18,2625.75,2724.3,2625.6,2695.42,3768139200.0
2020-03-19,2569.79,2630.05,2517.3,2611.75,4952352800.0
2020-03-20,2628.42,2636.14,2580.36,2597.98,3723143600.0
2020-03-23,2559.62,2586.11,2548.0,2548.85,3254972100.0
2020-03-24,2639.38,2641.87,2592.61,2608.24,3686841400.0
2020-03-25,2700.19,2711.12,2681.09,2700.1,3849119400.0
2020-03-26,2689.28,2716.34,2673.44,2676.62,2822602100.0
2020-03-27,2701.44,2733.52,2701.44,2722.47,3538694500.0
2020-03-30,2690.04,2696.33,2664.72,2667.12,3404970700.0
2020-03-31,2689.38,2716.02,2684.21,2713.5,3029903800.0
2020-04-01,2682.08,2722.32,2680.08,2684.5,2751937300.0
2020-04-02,2719.89,2719.89,2665.81,2667.94,2873089300.0
2020-04-03,2708.82,2720.84,2697.83,2707.82,2444455900.0
2020-04-07,2757.41,2762.31,2743.16,2756.27,3595465100.0
2020-04-08,2743.89,2753.49,2736.09,2742.36,2540167600.0
2020-04-09,2752.59,2760.59,2749.42,2754.72,2382049700.0
2020-04-10,2749.85,2787.28,2742.52,2755.2,2544479400.0
2020-04-13,2739.17,2749.48,2731.03,2740.09,1918766200.0
2020-04-14,2785.72,2785.8,2745.99,2756.5,2672299500.0
2020-04-15,2764.49,2788.09,2761.44,2783.28,2305149500.0
2020-04-16,2768.26,2771.43,2750.29,2751.69,2301637900.0
2020-04-17,2809.08,2825.96,2782.71,2790.83,3486971900.0
2020-04-20,2819.79,2821.01,2799.92,2812.8,2762756400.0
2020-04-21,2784.53,2808.91,2767.27,2808.91,2494367600.0
2020-04-22,2804.24,2804.24,2768.4,2774.44,2069456300.0
2020-04-23,2797.66,2820.24,2794.46,2813.73,2452956300.0
2020-04-24,2776.02,2789.05,2770.34,2789.05,1991477400.0
2020-04-27,2805.22,2818.54,2783.17,2786.47,2314714000.0
2020-04-28,2825.14,2832.06,2781.15,2814.23,2708422800.0
2020-04-29,2844.81,2852.1,2814.07,2814.6,2543013400.0
2020-04-30,2861.91,2882.7,2851.14,2851.14,3038905300.0
2020-05-06,2863.85,2865.11,2823.27,2823.29,3545978100.0
2020-05-07,2854.42,2863.16,2845.66,2860.96,2390200000.0
2020-05-08,2873.01,2883.69,2858.11,2864.86,2703717900.0
2020-05-11,2871.85,2897.99,2864.96,2876.77,2530899800.0
2020-05-12,2869.6,2880.5,2855.02,2871.31,2133015000.0
2020-05-13,2867.71,2869.7,2845.34,2860.82,1832565100.0
2020-05-14,2834.53,2854.78,2833.95,2854.78,1981834300.0
2020-05-15,2819.69,2849.17,2818.37,2845.91,1947058000.0
2020-05-18,2837.17,2849.85,2813.26,2821.73,2262686600.0
2020-05-19,2860.67,2872.7,2854.89,2869.23,2270551600.0
2020-05-20,2856.14,2864.67,2847.26,2861.59,1994922900.0
2020-05-21,2846.82,2867.91,2844.14,2866.74,1907114500.0
2020-05-22,2775.81,2841.11,2775.31,2840.88,2597130200.0
2020-05-25,2789.71,2789.82,2762.3,2784.43,1867492300.0
2020-05-26,2808.84,2811.83,2796.85,2806.25,1811040900.0
2020-05-27,2795.48,2814.56,2790.84,2810.47,1975995300.0
2020-05-28,2809.66,2830.46,2785.32,2797.37,2294337200.0
2020-05-29,2806.66,2813.82,2788.87,2791.62,2147102600.0
2020-06-01,2870.36,2873.05,2832.22,2832.22,2843344300.0
2020-06-02,2885.92,2890.81,2862.68,2864.53,2670394300.0
2020-06-03,2889.11,2922.78,2889.08,2900.87,2784097500.0
2020-06-04,2883.36,2902.9,2876.44,2900.96,2189472900.0
2020-06-05,2896.35,2896.35,2871.87,2886.23,2126970100.0
2020-06-08,2909.59,2925.2,2904.03,2907.68,2930062900.0
2020-06-09,2928.3,2931.54,2905.84,2911.95,2440088000.0
2020-06-10,2908.48,2925.17,2905.21,2925.17,2271766600.0
2020-06-11,2876.51,2907.66,2867.2,2899.49,2899854300.0
2020-06-12,2884.12,2884.99,2837.55,2840.8,3409594400.0
2020-06-15,2838.61,2875.03,2838.61,2862.49,2931049700.0
2020-06-16,2878.99,2879.53,2861.01,2867.71,2421833300.0
2020-06-17,2881.13,2882.1,2864.16,2879.85,2224461300.0
2020-06-18,2888.96,2892.12,2860.5,2872.17,2763430400.0
2020-06-19,2925.94,2933.9,2888.92,2891.31,3713736100.0
2020-06-22,2921.89,2947.61,2912.49,2921.3,3726298500.0
2020-06-23,2925.42,2929.8,2902.12,2913.01,2754012800.0
2020-06-24,2943.47,2947.19,2926.84,2928.52,3017957300.0
2020-06-29,2925.48,2942.49,2909.45,2935.54,3248337700.0
2020-06-30,2942.07,2951.12,2928.68,2933.93,2701559800.0
2020-07-01,3009.86,3010.36,2941.38,2950.49,4266806900.0
2020-07-02,3084.24,3088.96,3003.78,3005.36,6722380600.0
2020-07-03,3159.16,3159.17,3101.26,3101.39,7820941600.0
2020-07-06,3374.14,3384.87,3198.74,3198.74,12216786900.0
2020-07-07,3381.76,3465.47,3381.76,3438.86,10862413900.0
2020-07-08,3429.94,3466.63,3371.59,3378.11,9145721300.0
2020-07-09,3442.02,3451.93,3403.73,3426.6,8493444000.0
2020-07-10,3351.78,3411.09,3338.59,3404.0,7904651800.0
2020-07-13,3390.12,3421.94,3327.7,3338.71,8002418600.0
2020-07-14,3348.03,3391.9,3310.89,3374.07,7678639500.0
2020-07-15,3313.76,3374.29,3303.15,3363.92,7041203100.0
2020-07-16,3162.03,3326.69,3162.03,3313.56,7468306800.0
2020-07-17,3185.89,3223.54,3151.22,3181.7,4944909900.0
2020-07-20,3287.92,3293.63,3189.47,3219.92,6304753600.0
2020-07-21,3286.81,3305.2,3272.47,3302.72,4451198100.0
2020-07-22,3291.36,3354.72,3273.81,3278.74,5440375100.0
2020-07-23,3284.11,3303.43,3224.51,3263.07,5566558300.0
2020-07-24,3158.29,3270.56,3136.64,3265.52,6063813600.0
2020-07-27,3163.23,3194.14,3136.03,3178.05,3762745600.0
2020-07-28,3185.89,3205.57,3168.9,3188.96,3571045100.0
2020-07-29,3243.38,3245.7,3171.04,3184.72,4364869100.0
2020-07-30,3231.52,3263.19,3231.36,3252.2,3610894500.0
